Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2009;2009;gigagrams;94899.7532;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2010;2010;gigagrams;94817.2891;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2011;2011;gigagrams;95198.0478;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2012;2012;gigagrams;95965.8397;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2013;2013;gigagrams;96382.2168;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2014;2014;gigagrams;96971.7417;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2015;2015;gigagrams;97699.7691;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2016;2016;gigagrams;98868.0792;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2017;2017;gigagrams;99274.4564;A;Aggregate, may include official, semi-official, estimated or calculated data;
GT;Agriculture Total;5000;World;7225;CH4 emissions;5058;Enteric Fermentation;2018;2018;gigagrams;99942.2746;A;Aggregate, may include official, semi-official, estimated or calculated data;
